5001,2049
5002,2049
5003,2049
5004,2049
5005,2047
5006,2049
5007,2049
5008,2049
5009,2049
5010,2049
5011,2050
5012,2049
5013,2049
5014,2049
5015,2049
5016,2048
5017,2049
5018,2051
5019,2049
5020,2050
5021,2049
5022,2048
5023,2049
5024,2049
5025,2051
5026,2049
5027,2049
5028,2049
5029,2047
5030,2049
5031,2049
5032,2050
5033,2049
5034,2049
5035,2048
5036,2049
5037,2049
5038,2048
5039,2049
5040,2050
5041,2049
5042,2049
5043,2048
5044,2049
5045,2049
5046,2049
5047,2049
5048,2049
5049,2049
5050,2049
5051,2049
5052,2049
5053,2049
5054,2048
5055,2049
5056,2049
5057,2050
5058,2047
5059,2049
5060,2049
5061,2049
5062,2050
5063,2050
5064,2049
5065,2049
5066,2050
5067,2049
5068,2049
5069,2049
5070,2049
5071,2050
5072,2049
5073,2051
5074,2051
5075,2049
5076,2049
5077,2053
5078,2049
5079,2049
5080,2048
5081,2049
5082,2049
5083,2049
5084,2049
5085,2049
5086,2049
5087,2049
5088,2048
5089,2048
5090,2049
5091,2049
5092,2049
5093,2049
5094,2049
5095,2047
5096,2049
5097,2047
5098,2049
5099,2049
5100,2049
5101,2050
5102,2049
5103,2049
5104,2052
5105,2050
5106,2048
5107,2049
5108,2048
5109,2046
5110,2048
5111,2049
5112,2049
5113,2050
5114,2047
5115,2048
5116,2049
5117,2049
5118,2049
5119,2048
5120,2048
5121,2049
5122,2049
5123,2050
5124,2049
5125,2050
5126,2048
5127,2049
5128,2049
5129,2050
5130,2049
5131,2049
5132,2049
5133,2049
5134,2052
5135,2049
5136,2048
5137,2049
5138,2050
5139,2049
5140,2047
5141,2049
5142,2049
5143,2048
5144,2049
5145,2049
5146,2048
5147,2049
5148,2049
5149,2046
5150,2050
5151,2049
5152,2049
5153,2047
5154,2050
5155,2049
5156,2047
5157,2049
5158,2049
5159,2049
5160,2045
5161,2048
5162,2048
5163,2048
5164,2050
5165,2049
5166,2049
5167,2049
5168,2048
5169,2049
5170,2049
5171,2049
5172,2049
5173,2049
5174,2049
5175,2048
5176,2049
5177,2050
5178,2049
5179,2049
5180,2047
5181,2050
5182,2050
5183,2050
5184,2049
5185,2051
5186,2049
5187,2049
5188,2049
5189,2050
5190,2051
5191,2047
5192,2049
5193,2049
5194,2049
5195,2050
5196,2049
5197,2048
5198,2049
5199,2049
5200,2048
5201,2049
5202,2049
5203,2049
5204,2048
5205,2049
5206,2049
5207,2050
5208,2052
5209,2048
5210,2049
5211,2050
5212,2049
5213,2050
5214,2049
5215,2049
5216,2049
5217,2049
5218,2049
5219,2050
5220,2049
5221,2049
5222,2050
5223,2048
5224,2050
5225,2049
5226,2042
5227,2049
5228,2049
5229,2051
5230,2049
5231,2049
5232,2048
5233,2049
5234,2050
5235,2049
5236,2049
5237,2049
5238,2049
5239,2051
5240,2049
5241,2049
5242,2047
5243,2049
5244,2049
5245,2049
5246,2050
5247,2049
5248,2050
5249,2049
5250,2049
5251,2049
5252,2051
5253,2049
5254,2049
5255,2050
5256,2049
5257,2048
5258,2049
5259,2048
5260,2049
5261,2049
5262,2049
5263,2049
5264,2049
5265,2049
5266,2049
5267,2049
5268,2049
5269,2048
5270,2049
5271,2049
5272,2049
5273,2049
5274,2049
5275,2050
5276,2049
5277,2051
5278,2047
5279,2049
5280,2049
5281,2050
5282,2048
5283,2049
5284,2049
5285,2050
5286,2049
5287,2049
5288,2050
5289,2049
5290,2049
5291,2047
5292,2049
5293,2049
5294,2049
5295,2050
5296,2050
5297,2047
5298,2050
5299,2050
5300,2050
5301,2049
5302,2050
5303,2048
5304,2051
5305,2049
5306,2049
5307,2050
5308,2049
5309,2049
5310,2049
5311,2048
5312,2049
5313,2048
5314,2049
5315,2049
5316,2049
5317,2049
5318,2049
5319,2049
5320,2048
