840 3945 15 2084 514,2053
823 318 48 4627 514 4048 22 669,2054
2600 10 1197 13 888 156 26 711 712,2050
23980 3 244 48 3721 4805 11750 2346 48 953 1303,2054
1154 1173 1535 1155 1153 149 1205 2248 1332,2047
8539 1275 270 2492 651 328 672 192 3830,2043
933 391 739 3038 303 335 12646 2167 2211,2054
3 3455 5434 1753 326 1124,2048
114 3 853 13 1273 2880 1733 48 1330 3385 1330 49 688,2052
147 1500 2135 10915 270 359 798 392 22 2230 4970,2053
862 2212 48 860 1383 1382,2051
5035 8495 2492 916 2487,2048
3677 13424 3 3677 805 930 48 80 550 203,2050
166 7528 10 489 2669 116,2045
15762 840 1940 1124,2053
982 11 179 7224 166 1332,2053
1401 715 2167 120 165 7957 514,2053
5734 715 1700 6960 26 774 588 91,2048
3 210 199 48 1535 1155 1602 1186 988 764,2052
478 315 48 149 488 2160 318 26 80 2941,2051
5341 7181 3184 15 4355 762 22 2510 2388,2053
256 1623 2212 48 5455 5456 1383 1382,2054
1383 3132 22 10 256 20144 681,2054
3 315,2051
149 49 1434 12158 12159 15 3 5752 807 2810 494,2044
20684 10 20685 10128 1674 1675 8489,2054
13542 501 792 117 2594 1914,2044
3 278 1171 22 764 559 48 491 13 235 1027 15 163 49 1243 1051 28 26 420 4457 3587,2052
14297 7969 318 22 14697 1215,2046
860 210 503 15 727 3158,2050
150 592 792 13 1799 3556,2046
210 1933 631,2051
4785 3814 13 1623 1640,2053
6072 1273 454 1383 1382 48 1731 325 799,2048
386 367 13 209 149 26 712,2053
8729 1382 2211,2049
781 6541 2167 957 149,2053
6558 1192 15 15782 6077 211 7613,2043
149 2092 15 1338 1339 22 1338 11613,2048
7037 297 48 1088 1554 51 10 3274,2053
147 149 117 3508 6301,2053
1152 291 2397 48 1495 13 1384 514 1205 2093 963 13 1368 203,2054
19990 2730 4895 28138 9306 8815 362 3119 6504,2045
256 218 367 13 1869 4091 198 2477 2007,2051
77 807 1346 1046,2049
8311 10 2045 13 28691 28692 15 2180 1446 1215,2054
811 812 363 10307 6602,2050
111 1931 1707 3005 912 516 48 1223 210 503,2054
278 149 22 527 725 2257 270 1602 967 8243 3317,2047
3 560 13 21536 515 40 114 4674 2369 7751,2054
7150 13 10015 10016 10017 270 3734 247 22 494 149,2043
478 1241 85 48 1731 1330,2048
931 602 688 15 1792 641 3722,2052
3 2455 7 278 48 7297 7298,2048
9335 417 48 9209 503 15 861 525,2043
4328 9445 26 630 40 3116,2045
179 478 233 149 1205 911 315,2050
13387 1752 792,2047
10 1383 1731 3815 79 48 1330 2739 359 318,2047
759 6967 315 48 913 914 2072 13 2702 297,2047
10 386 367 13 6558,2046
15040 454 5416 3038 15 1332,2049
6558 114 3 1244 315 48 988 478 459,2046
5341 3402 762 48 1490 149 22 1284,2048
3858 3097 8183 3229 48 149 165 11149,2053
478 2582 1610 15 685 555 712,2050
386 387 22 78 8415 1382 270 17957 13041 6692,2043
986 15 1310 3533 22 34 3074 49 760 887 848,2049
23180 3 19912 347 880 939 2434 11075 2927 3815 5991 848 3508,2053
735 4149 22 3785 560,2053
560 762 22 83 48 1368 1864 2081 22 18266 808,2046
149 455 963 13 630 3680,2046
148 1186 9445 48 228 22 3030 1526 676,2053
1602 12551 1444 10 3277 11 1134 368 10 710 13 34 2872,2052
1679 10 3294 641 13 359 360 913 914 117 18160 18992,2044
2830 6451 3038,2045
798 3727 1046 22 10 459 13 3366 2211,2044
277 3105 1091 36 2265 387 459 13 4242 1829 641,2052
24827 10 2211 3 189 190 22 2191 3943 544 149 269,2048
149 988 764 3106 26 1602 1032 149,2049
218 1008 2476 22 1137 3074 49 10366 2793,2046
149 49 10205 186 599 26 10206 117 233,2054
454 688 270 3 6195 8929 516,2051
1430 1382 48 1940 496 1334 318,2050
149 10 957 13 1841 1984 318 15 111 3988 10039 8051 4884 326,2052
2037 1051 341 48 387 1051 468 1911,2053
149 8264 318 15 2880 3751,2045
395 10 5965 26 1816 1475 278 40 2417,2048
156 3235 7215 3442 15 1368 1535 359 799,2052
988 3728 48 489 233 149,2044
